coin,date,price_usd,volume_usd
dogecoin,2024-11-01,0.16161157386392275,2433162762.1835318
dogecoin,2024-11-02,0.1592929577355371,2384334083.6126504
dogecoin,2024-11-03,0.15931442661099204,1497134113.918328
dogecoin,2024-11-04,0.1519727008143906,2539631782.021095
dogecoin,2024-11-05,0.1581515101721086,2934227322.746805
dogecoin,2024-11-06,0.17016389715992922,4722717269.39245
dogecoin,2024-11-07,0.19605447298033848,13964396580.982435
dogecoin,2024-11-08,0.19318735961279923,5023759022.790759
dogecoin,2024-11-09,0.20201615296993558,4762859227.42924
dogecoin,2024-11-10,0.21781216980037166,5124130776.036058
dogecoin,2024-11-11,0.27784396474944806,17922592739.470116
dogecoin,2024-11-12,0.34813435852166763,23002869379.97055
dogecoin,2024-11-13,0.3863520490278735,45647590496.22071
dogecoin,2024-11-14,0.39947694403435763,33764060390.327175
dogecoin,2024-11-15,0.362206396833341,17394397997.80318
dogecoin,2024-11-16,0.3783105880220168,14263596086.931938
dogecoin,2024-11-17,0.36405554021536696,9205954824.33035
dogecoin,2024-11-18,0.36707674107673377,9784068444.010353
dogecoin,2024-11-19,0.3723193454668548,8956521463.269907
dogecoin,2024-11-20,0.39155732311595115,15683020455.352236
dogecoin,2024-11-21,0.3788259944714756,9823247879.4612
dogecoin,2024-11-22,0.3875057581200171,9437714466.947334
dogecoin,2024-11-23,0.41071496052804074,15763705369.107473
dogecoin,2024-11-24,0.42958842822505655,24615656526.251476
dogecoin,2024-11-25,0.42986139070108076,14194998723.10986
dogecoin,2024-11-26,0.39278774199281596,10991675836.364794
dogecoin,2024-11-27,0.38570606921820494,10352541749.38322
dogecoin,2024-11-28,0.40210599150633014,7575329620.039413
dogecoin,2024-11-29,0.4021738343338388,6881415591.797313
dogecoin,2024-11-30,0.42589893402880247,7204905118.668185
dogecoin,2024-12-01,0.4219026659956098,6694741285.598611
dogecoin,2024-12-02,0.44108781303646266,8422395747.703863
dogecoin,2024-12-03,0.42405045756614346,14905269533.2319
dogecoin,2024-12-04,0.40914646603543636,8839146109.799376
dogecoin,2024-12-05,0.4294319629835894,9655017662.13735
dogecoin,2024-12-06,0.42913177925717433,18019186820.61109
dogecoin,2024-12-07,0.43569429743752,7529153953.033535
dogecoin,2024-12-08,0.4542043314711241,8438594527.802239
dogecoin,2024-12-09,0.4665030913917874,10403917176.241884
dogecoin,2024-12-10,0.4140315464336743,14335180806.342701
dogecoin,2024-12-11,0.39338370849527693,13688198758.325867
dogecoin,2024-12-12,0.4139085468659278,7787776853.752998
dogecoin,2024-12-13,0.40607964903629845,6855176846.684583
dogecoin,2024-12-14,0.40756319983501244,4421977875.552173
dogecoin,2024-12-15,0.39778451252010744,3714436683.163177
dogecoin,2024-12-16,0.40720394659174575,3168913334.077235
dogecoin,2024-12-17,0.4023002255033781,4670645497.325498
dogecoin,2024-12-18,0.39367099850358883,3654751097.510298
dogecoin,2024-12-19,0.3582384960182544,6424342443.584895
dogecoin,2024-12-20,0.3162217505606263,10299588179.47391
dogecoin,2024-12-21,0.31740230797949737,11908085963.040106
dogecoin,2024-12-22,0.32043526129975136,6978901591.406554
dogecoin,2024-12-23,0.3119109632636429,4326157081.905719
dogecoin,2024-12-24,0.3234015365143098,4612068974.597669
dogecoin,2024-12-25,0.33732200612833885,3228261462.9296412
dogecoin,2024-12-26,0.334477549311157,2604485058.90388
dogecoin,2024-12-27,0.31192211576968526,2625101365.575846
dogecoin,2024-12-28,0.3111610704472971,2293373604.8945475
dogecoin,2024-12-29,0.32383521561724815,1538666440.0007308
dogecoin,2024-12-30,0.31498371175717305,1870842483.4356143
dogecoin,2024-12-31,0.3134342756044935,2707904119.2033954
dogecoin,2025-01-01,0.3161573771733231,2514890508.073105
dogecoin,2025-01-02,0.3240901261984082,1620382475.4153996
dogecoin,2025-01-03,0.33902102501900305,3606534898.0570397
dogecoin,2025-01-04,0.37924190970178634,5419307373.054088
dogecoin,2025-01-05,0.39471360199829914,4943690690.039445
dogecoin,2025-01-06,0.382652831776486,2911300930.2606125
dogecoin,2025-01-07,0.3877984263023277,3301153541.1172915
dogecoin,2025-01-08,0.3490042138051966,5262187979.134054
dogecoin,2025-01-09,0.3424596033019549,4459666163.753783
dogecoin,2025-01-10,0.32123156039028333,3686394495.8291883
dogecoin,2025-01-11,0.3341873593343171,3269124532.5110497
dogecoin,2025-01-12,0.3414731256235199,1480544587.7329526
dogecoin,2025-01-13,0.3358234445663888,1480721033.6651137
dogecoin,2025-01-14,0.33821090679385296,3781697203.425277
dogecoin,2025-01-15,0.356394690318903,3174234902.468615
dogecoin,2025-01-16,0.38697448017199143,4356121532.863304
dogecoin,2025-01-17,0.3776524144889539,4283602033.717316
dogecoin,2025-01-18,0.4149142593534293,6526718816.983121
dogecoin,2025-01-19,0.39642227480400194,6516773074.938818
dogecoin,2025-01-20,0.3578609618648825,8685239181.345173
dogecoin,2025-01-21,0.35358407263326513,8045403576.875606
dogecoin,2025-01-22,0.37151241373320587,9146197049.337523
dogecoin,2025-01-23,0.3632014802889421,2857875569.671739
dogecoin,2025-01-24,0.35227019866787745,3050289092.7539253
dogecoin,2025-01-25,0.35057447566433303,2039182933.8261669
dogecoin,2025-01-26,0.3543296524535725,1469045352.756256
dogecoin,2025-01-27,0.33592378142649937,1173608165.9973679
